Run ID,Event ID,QP Creation Time [ns],Patch Copy Number,Patch IX,Patch IY,Patch Center X [um],Patch Center Y [um],QPs Created
0,2994,3008.6,839,2,1,400,200,2
0,2998,29248.3,839,2,1,400,200,2
0,3000,25157.6,1502,19,1,3800,200,4
0,3000,9415.39,1502,19,1,3800,200,2
0,3004,26438.8,1502,19,1,3800,200,2
0,3009,757.251,839,2,1,400,200,10
0,3033,346.505,839,2,1,400,200,8
0,3039,70627.9,839,2,1,400,200,2
0,3044,24289.4,1502,19,1,3800,200,2
0,3046,6894.35,1502,19,1,3800,200,2
0,3047,87320.1,1502,19,1,3800,200,2
0,3049,17010.6,1502,19,1,3800,200,2
0,3051,46958.6,1502,19,1,3800,200,2
0,3058,114246,1502,19,1,3800,200,4
0,3060,877.705,839,2,1,400,200,6
0,3061,71719.3,839,2,1,400,200,2
0,3067,1978.77,839,2,1,400,200,2
0,3068,12900,839,2,1,400,200,4
0,3071,16044.3,839,2,1,400,200,2
0,3073,1420.07,839,2,1,400,200,2
0,3076,12142,1502,19,1,3800,200,4
0,3094,173647,1502,19,1,3800,200,4
0,3096,17338,1502,19,1,3800,200,2
0,3102,8759.21,839,2,1,400,200,4
0,3104,81039.7,839,2,1,400,200,2
0,3109,526.118,839,2,1,400,200,8
0,3125,8000.57,1502,19,1,3800,200,2
0,3129,139604,1502,19,1,3800,200,2
0,3141,107065,839,2,1,400,200,2
0,3147,3615.38,839,2,1,400,200,2
0,4650,19547.5,839,2,1,400,200,2
0,4651,48829.1,839,2,1,400,200,2
0,4688,54711.8,1502,19,1,3800,200,2
0,4689,15334.3,1502,19,1,3800,200,2
0,4696,33628.9,1502,19,1,3800,200,2
0,4701,49299.8,839,2,1,400,200,2
0,4703,17511.9,1502,19,1,3800,200,2
0,4714,58415.5,839,2,1,400,200,4
0,4715,50113.4,1502,19,1,3800,200,4
0,4729,370.714,839,2,1,400,200,2
0,4755,29759.1,839,2,1,400,200,2
0,4760,18105.7,839,2,1,400,200,4
0,4761,190036,839,2,1,400,200,2
0,4761,18536.1,839,2,1,400,200,2
0,4771,4010.71,1502,19,1,3800,200,2
0,4775,42148.5,839,2,1,400,200,4
0,4781,49081.6,839,2,1,400,200,4
0,4789,49381.1,1502,19,1,3800,200,2
0,4790,37646.8,839,2,1,400,200,2
0,4791,8777.83,1502,19,1,3800,200,2
0,4794,1195.45,839,2,1,400,200,2
0,4795,63101,1502,19,1,3800,200,6
0,4798,108347,1502,19,1,3800,200,2
0,4802,16449.5,839,2,1,400,200,2
0,4802,6300.26,1502,19,1,3800,200,4
0,9145,12019.1,839,2,1,400,200,4
0,9151,33276.7,1502,19,1,3800,200,2
0,9171,112.402,839,2,1,400,200,4
0,9178,67056.2,1502,19,1,3800,200,2
0,9180,27953.5,839,2,1,400,200,2
0,9184,154305,1502,19,1,3800,200,6
0,9192,427.128,839,2,1,400,200,2
0,9192,4879.98,1502,19,1,3800,200,2
0,9200,62645.7,1502,19,1,3800,200,2
0,9211,216.792,839,2,1,400,200,2
0,9214,35113.9,839,2,1,400,200,2
0,9215,24159.3,1502,19,1,3800,200,6
0,9221,3269.69,1502,19,1,3800,200,4
0,9222,40706.2,1502,19,1,3800,200,2
0,9226,9501.23,839,2,1,400,200,2
0,9235,2677.44,839,2,1,400,200,2
0,9239,125928,839,2,1,400,200,2
0,9239,6236.24,1502,19,1,3800,200,2
0,9243,135966,839,2,1,400,200,2
0,9245,48795.8,839,2,1,400,200,2
0,9248,10840.1,1502,19,1,3800,200,2
0,9265,3594.92,1502,19,1,3800,200,4
0,9270,58179.5,839,2,1,400,200,2
0,9275,177131,1502,19,1,3800,200,2
0,9278,45654.1,1502,19,1,3800,200,2
0,9295,17473.1,839,2,1,400,200,2
0,12126,6337.78,1502,19,1,3800,200,2
0,12126,49248.4,839,2,1,400,200,6
0,12148,26269.5,1502,19,1,3800,200,2
0,12150,17533.8,839,2,1,400,200,2
0,12150,289.248,839,2,1,400,200,4
0,12157,1354.48,839,2,1,400,200,4
0,12163,103117,1502,19,1,3800,200,2
0,12164,57415.5,1502,19,1,3800,200,2
0,12167,2134.47,839,2,1,400,200,2
0,12174,39202.7,839,2,1,400,200,2
0,12179,1527.9,839,2,1,400,200,2
0,12180,43019.1,839,2,1,400,200,2
0,12184,8982.61,839,2,1,400,200,2
0,12188,17117.5,839,2,1,400,200,2
0,12194,21098.9,839,2,1,400,200,2
0,12212,22966.9,1502,19,1,3800,200,6
0,12226,29418.5,1502,19,1,3800,200,4
0,12228,937.359,839,2,1,400,200,4
0,12249,31000.9,839,2,1,400,200,2
0,12249,317.722,839,2,1,400,200,4
0,12257,39865.2,1502,19,1,3800,200,4
0,12258,506.793,839,2,1,400,200,6
0,12265,105138,839,2,1,400,200,4
0,12274,10023.4,1502,19,1,3800,200,2
0,12280,42930.6,1502,19,1,3800,200,2
0,15107,72895.3,1502,19,1,3800,200,4
0,15114,112.258,839,2,1,400,200,8
0,15116,8220.51,1502,19,1,3800,200,2
